location,size,total_sqft,bath,price,bhk,price_per_sqft
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,5477
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000
other,3 BHK,1450.0,2.0,70.0,3,4827
Thanisandra,2 BHK,1296.0,2.0,80.0,2,6172
Domlur,3 BHK,1540.0,3.0,90.0,3,5844
other,2 BHK,1200.0,2.0,65.0,2,5416
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,5515
Kothanur,3 Bedroom,2400.0,2.0,150.0,3,6250
other,2 BHK,1007.0,2.0,43.0,2,4270
other,2 BHK,966.0,2.0,49.9,2,5165
Nagarbhavi,3 BHK,1630.0,2.0,98.0,3,6012
other,2 BHK,782.0,2.0,55.68,2,7120
Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300
other,3 BHK,1800.0,3.0,120.0,3,6666
other,3 BHK,1413.0,2.0,75.0,3,5307
Whitefield,2 BHK,1116.0,2.0,51.91,2,4651
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4,6081
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,5606
Thanisandra,3 BHK,1436.0,3.0,74.75,3,5205
Malleshwaram,2 BHK,1100.0,2.0,75.0,2,6818
Shampura,4 BHK,2650.0,4.0,150.0,4,5660
Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344
other,2 BHK,945.0,2.0,54.0,2,5714
Hormavu,2 BHK,1500.0,2.0,78.0,2,5200
other,3 BHK,1870.0,3.0,110.0,3,5882
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,4687
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,5407
Kanakpura Road,2 BHK,950.0,2.0,57.0,2,6000
Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030
other,3 BHK,1260.0,2.0,85.05,3,6750
Hennur Road,8 Bedroom,5000.0,8.0,250.0,8,5000
Yelahanka,5 BHK,3050.0,5.0,213.0,5,6983
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,6717
ISRO Layout,2 BHK,1000.0,2.0,60.0,2,6000
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7,5625
Kothanur,3 BHK,1828.0,3.0,110.0,3,6017
Mysore Road,3 BHK,1710.0,4.0,91.31,3,5339
Kannamangala,2 BHK,957.0,2.0,58.0,2,6060
Hulimavu,2 BHK,1125.0,2.0,50.0,2,4444
Thanisandra,3 BHK,2050.0,3.0,145.0,3,7073
other,3 BHK,1425.0,2.0,75.0,3,5263
Electronic City,3 BHK,1500.0,2.0,64.5,3,4300
Electronic City,2 BHK,1060.0,2.0,60.0,2,5660
other,3 BHK,1470.0,2.0,70.0,3,4761
Electronic City,2 BHK,1152.0,2.0,64.5,2,5598
other,3 Bedroom,1500.0,3.0,100.0,3,6666
Electronic City,2 BHK,770.0,1.0,36.0,2,4675
Thanisandra,3 BHK,2144.0,3.0,145.0,3,6763
Vijayanagar,3 BHK,1704.0,3.0,110.0,3,6455
Electronic City,2 BHK,1070.0,2.0,52.0,2,4859
Electronic City,2 BHK,1025.0,2.0,46.0,2,4487
KR Puram,2 BHK,1277.5,2.0,56.8,2,4446
Marathahalli,2 BHK,1200.0,2.0,52.0,2,4333
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,4888
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,5161
Marathahalli,2 BHK,1200.0,2.0,60.0,2,5000
Yelahanka,2 BHK,1327.0,2.0,98.0,2,7385
Kothanur,2 BHK,1186.0,2.0,58.0,2,4890
other,3 Bedroom,1783.0,3.0,115.0,3,6449
Nagasandra,2 BHK,980.0,2.0,48.0,2,4897
EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381
Whitefield,2 BHK,1075.0,2.0,53.0,2,4930
Kadugodi,3 BHK,1260.0,2.0,54.0,3,4285
Kogilu,3 BHK,1909.0,3.0,88.0,3,4609
Panathur,2 BHK,1359.0,2.0,87.0,2,6401
other,3 BHK,1798.0,3.0,89.0,3,4949
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,5307
other,3 BHK,1580.0,3.0,100.0,3,6329
Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019
Electronic City,1 BHK,589.0,1.0,27.0,1,4584
other,3 BHK,1415.0,3.0,78.0,3,5512
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,5500
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,6994
Koramangala,3 BHK,1475.0,2.0,90.0,3,6101
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,4500
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666
Hebbal,3 BHK,1900.0,3.0,119.0,3,6263
Budigere,2 BHK,1153.0,2.0,56.4,2,4891
other,2 BHK,1148.0,2.0,60.0,2,5226
other,2 BHK,1110.0,2.0,55.0,2,4954
other,3 BHK,1500.0,2.0,65.0,3,4333
Vijayanagar,3 BHK,1933.0,3.0,129.0,3,6673
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5,4285
other,2 BHK,1060.0,2.0,60.0,2,5660
other,8 Bedroom,2600.0,8.0,180.0,8,6923
other,3 BHK,1644.0,3.0,84.0,3,5109
other,2 BHK,1285.0,2.0,72.5,2,5642
Electronic City,2 BHK,910.0,2.0,40.0,2,4395
Kothanur,3 BHK,1577.0,3.0,70.0,3,4438
other,3 Bedroom,4050.0,3.0,280.0,3,6913
other,2 BHK,1060.0,2.0,55.0,2,5188
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322
other,2 Bedroom,1280.0,2.0,69.0,2,5390
Electronic City,2 BHK,1108.0,2.0,63.0,2,5685
other,3 BHK,3045.0,3.0,170.0,3,5582
Vijayanagar,3 BHK,1500.0,3.0,75.5,3,5033
Budigere,2 BHK,1162.0,2.0,59.9,2,5154
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,4753
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,6651
Talaghattapura,3 BHK,1868.0,3.0,131.0,3,7012
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,5096
Kogilu,3 BHK,1664.0,2.0,73.95,3,4444
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,6515
Balagere,2 BHK,1210.0,2.0,80.9,2,6685
other,4 Bedroom,4111.0,4.0,250.0,4,6081
Kadugodi,3 BHK,1762.0,3.0,91.45,3,5190
Jigani,3 BHK,1252.0,3.0,55.0,3,4392
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,5288
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,4279
Old Madras Road,3 BHK,1425.0,2.0,94.0,3,6596
Kaggadasapura,3 BHK,1280.0,2.0,56.0,3,4375
other,2 BHK,1084.0,2.0,50.0,2,4612
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,5039
Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
Hebbal,2 BHK,1349.0,2.0,98.2,2,7279
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975
Jakkur,2 BHK,1417.0,2.0,75.0,2,5292
TC Palaya,3 Bedroom,1475.0,3.0,98.0,3,6644
other,2 BHK,950.0,2.0,47.0,2,4947
other,4 BHK,2000.0,4.0,120.0,4,6000
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,5582
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,4912
Vijayanagar,3 BHK,1450.0,3.0,100.0,3,6896
Kothanur,3 BHK,1847.0,3.0,105.0,3,5684
Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952
Mallasandra,3 BHK,1665.0,3.0,95.0,3,5705
Panathur,2 BHK,1438.0,2.0,100.0,2,6954
other,3 BHK,1560.0,3.0,115.0,3,7371
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,4322
Whitefield,2 BHK,1280.0,2.0,75.0,2,5859
Munnekollal,2 BHK,1170.0,2.0,52.0,2,4444
other,2 BHK,1113.0,2.0,51.0,2,4582
Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762
other,2 BHK,1200.0,2.0,55.0,2,4583
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,4333
Kaggalipura,3 BHK,1150.0,2.0,55.0,3,4782
other,3 BHK,1645.0,3.0,95.0,3,5775
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,6700
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208
Whitefield,2 BHK,1173.0,2.0,58.0,2,4944
Uttarahalli,2 BHK,1020.0,2.0,45.0,2,4411
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,7367
other,2 Bedroom,1200.0,2.0,79.0,2,6583
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,5735
Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,5416
Harlur,2 BHK,1508.0,2.0,77.0,2,5106
other,3 BHK,1592.0,3.0,75.0,3,4711
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500
other,3 BHK,1762.0,3.0,125.0,3,7094
other,2 BHK,950.0,2.0,50.0,2,5263
Magadi Road,2 BHK,1116.0,2.0,50.0,2,4480
Narayanapura,2 BHK,1308.0,2.0,89.04,2,6807
Hennur,2 BHK,1075.0,2.0,52.0,2,4837
Bellandur,2 BHK,1205.0,2.0,66.0,2,5477
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581
Balagere,2 BHK,1380.0,2.0,60.0,2,4347
Kodigehaali,2 BHK,1166.0,2.0,55.0,2,4716
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,6190
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,6750
Billekahalli,3 BHK,1935.0,3.0,110.0,3,5684
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629
Electronic City,3 BHK,1800.0,3.0,95.0,3,5277
Jalahalli,3 BHK,1400.0,3.0,77.0,3,5500
Hegde Nagar,3 BHK,1801.0,3.0,115.0,3,6385
Mahadevpura,2 BHK,1451.0,2.0,90.0,2,6202
other,3 BHK,1629.0,3.0,79.0,3,4849
Vijayanagar,3 BHK,1826.0,3.0,121.0,3,6626
Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3,6379
Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2,4760
Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2,4365
Hosur Road,2 BHK,1656.0,2.0,120.0,2,7246
Whitefield,4 BHK,3252.0,4.0,230.0,4,7072
Battarahalli,2 Bedroom,1200.0,2.0,65.0,2,5416
7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978
Kengeri,2 BHK,750.0,2.0,38.0,2,5066
other,3 BHK,1760.0,3.0,88.0,3,5000
Billekahalli,2 BHK,1125.0,2.0,62.0,2,5511
Anandapura,2 Bedroom,1000.0,2.0,55.0,2,5500
TC Palaya,2 Bedroom,1200.0,2.0,60.0,2,5000
Budigere,3 BHK,1991.0,4.0,103.0,3,5173
Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787
Hoodi,2 BHK,985.0,2.0,67.0,2,6802
Chandapura,6 Bedroom,1533.0,5.0,85.0,6,5544
Balagere,3 BHK,1590.0,3.0,79.0,3,4968
CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2,4910
other,2 BHK,1069.0,2.0,55.0,2,5144
Marathahalli,3 BHK,1933.0,3.0,140.0,3,7242
Hosur Road,2 BHK,1194.0,2.0,69.0,2,5778
Brookefield,2 BHK,1150.0,2.0,69.0,2,6000
Dasanapura,2 BHK,708.0,1.0,40.0,2,5649
Whitefield,4 Bedroom,11890.0,4.0,700.0,4,5887
Bellandur,2 BHK,1250.0,2.0,76.0,2,6080
7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785
Ardendale,3 BHK,1750.0,3.0,100.0,3,5714
Vittasandra,2 BHK,1404.0,2.0,71.0,2,5056
Hoodi,3 BHK,1715.0,2.0,95.0,3,5539
Electronic City,1 BHK,630.0,1.0,34.65,1,5500
Hulimavu,3 BHK,1650.0,3.0,78.0,3,4727
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,55.47,2,4283
Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2,5500
Hormavu,2 BHK,1150.0,2.0,55.0,2,4782
AECS Layout,3 BHK,1620.0,3.0,98.0,3,6049
Marathahalli,2 BHK,950.0,2.0,46.96,2,4943
other,11 BHK,5000.0,9.0,360.0,11,7200
Harlur,3 BHK,2450.0,3.0,120.0,3,4897
Padmanabhanagar,2 BHK,1020.0,2.0,63.0,2,6176
Chikkalasandra,2 BHK,1100.0,2.0,50.0,2,4545
Hebbal,3 BHK,1760.0,2.0,130.0,3,7386
Ambalipura,3 BHK,1800.0,3.0,110.0,3,6111
Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2,5046
Vidyaranyapura,2 Bedroom,1440.0,2.0,95.0,2,6597
Amruthahalli,2 BHK,900.0,2.0,40.0,2,4444
other,2 BHK,1200.0,2.0,62.0,2,5166
other,4 BHK,4800.0,4.0,235.0,4,4895
other,2 BHK,1200.0,2.0,74.0,2,6166
Subramanyapura,2 BHK,929.0,2.0,50.17,2,5400
other,4 Bedroom,2000.0,4.0,99.0,4,4950
Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2,5309
other,3 BHK,1753.0,3.0,120.0,3,6845
5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565
Electronic City,2 BHK,1128.0,2.0,63.0,2,5585
other,2 BHK,1000.0,2.0,53.0,2,5300
Yelahanka,2 BHK,1035.0,2.0,45.0,2,4347
Whitefield,2 BHK,1040.0,2.0,48.5,2,4663
other,2 Bedroom,720.0,2.0,45.0,2,6250
Lingadheeranahalli,3 BHK,1511.0,3.0,95.0,3,6287
other,3 BHK,1300.0,3.0,58.0,3,4461
Hoodi,3 BHK,1545.0,3.0,68.75,3,4449
Shampura,1 BHK,375.0,2.0,26.0,1,6933
Kambipura,2 BHK,883.0,2.0,45.0,2,5096
Sarjapur  Road,2 BHK,1195.0,2.0,70.0,2,5857
other,1 Bedroom,700.0,1.0,41.0,1,5857
Vittasandra,2 BHK,1246.0,2.0,67.0,2,5377
other,4 BHK,1600.0,4.0,80.0,4,5000
Haralur Road,4 BHK,2805.0,5.0,154.0,4,5490
other,3 BHK,1595.0,3.0,115.0,3,7210
Whitefield,2 BHK,1150.0,2.0,70.0,2,6086
other,1 BHK,1200.0,2.0,85.0,1,7083
other,2 BHK,1028.0,2.0,45.5,2,4426
Bannerghatta Road,3 BHK,1170.0,2.0,66.0,3,5641
HSR Layout,2 BHK,1372.0,2.0,68.0,2,4956
Whitefield,3 BHK,1768.0,3.0,101.0,3,5712
other,3 BHK,1325.0,2.0,90.0,3,6792
Electronic City,3 BHK,1599.0,3.0,99.0,3,6191
Uttarahalli,2 BHK,1286.0,2.0,63.0,2,4898
Kammanahalli,5 BHK,2845.0,5.0,140.0,5,4920
Hennur Road,2 BHK,1317.5,2.0,63.77,2,4840
Munnekollal,2 BHK,1102.0,2.0,53.67,2,4870
other,2 Bedroom,1800.0,1.0,80.0,2,4444
Kanakpura Road,1 BHK,525.0,1.0,27.25,1,5190
Bannerghatta Road,1 BHK,595.0,1.0,33.32,1,5600
other,2 BHK,1080.0,2.0,50.0,2,4629
7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3,7191
Electronics City Phase 1,3 BHK,1490.0,3.0,84.0,3,5637
Sarjapur  Road,3 BHK,1550.0,3.0,100.0,3,6451
other,2 BHK,1160.0,2.0,55.0,2,4741
Sarjapur  Road,3 BHK,2100.0,3.0,125.0,3,5952
Vittasandra,2 BHK,1404.0,2.0,69.3,2,4935
Banashankari Stage III,3 BHK,1305.0,2.0,58.7,3,4498
Marathahalli,2 BHK,1230.0,2.0,80.0,2,6504
other,2 Bedroom,1200.0,2.0,65.0,2,5416
Harlur,3 BHK,1460.0,3.0,73.0,3,5000
Gottigere,2 BHK,967.0,2.0,45.0,2,4653
other,1 Bedroom,540.0,1.0,36.0,1,6666
Hormavu,1 BHK,715.0,1.0,46.0,1,6433
Mysore Road,2 BHK,1020.0,2.0,48.95,2,4799
Kanakapura,3 BHK,1419.0,3.0,75.0,3,5285
other,2 Bedroom,1600.0,2.0,115.0,2,7187
other,1 BHK,416.0,1.0,18.5,1,4447
HSR Layout,3 BHK,1430.0,2.0,65.0,3,4545
other,3 BHK,1630.0,3.0,85.0,3,5214
Kalena Agrahara,3 BHK,1450.0,2.0,85.0,3,5862
other,1 BHK,834.0,1.0,60.0,1,7194
other,3 Bedroom,1125.0,4.0,70.0,3,6222
Arekere,3 BHK,2060.0,3.0,140.0,3,6796
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,49.07,2,4330
Vidyaranyapura,2 BHK,1200.0,2.0,55.0,2,4583
Thanisandra,2 BHK,1075.0,2.0,45.8,2,4260
R.T. Nagar,4 Bedroom,1500.0,4.0,70.0,4,4666
Whitefield,3 BHK,1790.0,3.0,100.0,3,5586
Hebbal,3 BHK,1920.0,3.0,134.0,3,6979
HRBR Layout,2 BHK,1374.0,2.0,95.0,2,6914
Bannerghatta Road,3 BHK,1445.0,3.0,95.0,3,6574
Kanakapura,1 BHK,711.0,1.0,36.0,1,5063
Tumkur Road,3 BHK,1500.0,3.0,95.0,3,6333
Whitefield,3 BHK,1720.0,3.0,100.0,3,5813
Vasanthapura,3 BHK,1400.0,3.0,60.0,3,4285
Kundalahalli,2 BHK,1030.0,2.0,49.0,2,4757
Mysore Road,2 BHK,1200.0,2.0,85.0,2,7083
other,3 BHK,1375.0,3.0,70.0,3,5090
Hegde Nagar,2 Bedroom,1050.0,1.0,56.0,2,5333
Jalahalli,3 BHK,2250.0,3.0,160.0,3,7111
Bellandur,2 BHK,1000.0,2.0,50.0,2,5000
other,1 BHK,469.0,1.0,25.0,1,5330
Marathahalli,4 BHK,3800.0,4.0,250.0,4,6578
GM Palaya,3 BHK,1820.0,2.0,86.0,3,4725
Singasandra,3 BHK,1440.0,2.0,65.0,3,4513
other,6 BHK,3600.0,4.0,160.0,6,4444
Chikkalasandra,2 BHK,875.0,2.0,52.8,2,6034
Jalahalli East,1 BHK,750.0,1.0,40.0,1,5333
6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779
other,2 BHK,1160.0,2.0,52.2,2,4500
Sarjapur,2 BHK,1128.0,2.0,60.0,2,5319
Sarjapur  Road,2 BHK,1210.0,2.0,58.0,2,4793
Kanakpura Road,3 BHK,1100.0,2.0,58.0,3,5272
Raja Rajeshwari Nagar,2 BHK,1260.0,2.0,67.39,2,5348
Mahadevpura,3 BHK,1720.0,3.0,78.0,3,4534
other,3 BHK,2072.0,3.0,108.0,3,5212
other,3 Bedroom,1200.0,2.0,70.0,3,5833
other,3 BHK,1350.0,3.0,77.0,3,5703
other,3 BHK,1180.0,2.0,78.34,3,6638
Bannerghatta Road,3 BHK,1640.0,2.0,120.0,3,7317
Kodichikkanahalli,3 BHK,1190.0,2.0,57.0,3,4789
Marathahalli,2 BHK,1019.0,2.0,49.85,2,4892
Whitefield,2 BHK,1140.0,2.0,56.0,2,4912
Lingadheeranahalli,3 BHK,1683.0,3.0,109.0,3,6476
Kaggadasapura,3 BHK,1515.0,3.0,83.3,3,5498
Hoodi,4 BHK,2118.0,4.0,111.0,4,5240
Varthur Road,2 BHK,1083.0,2.0,61.75,2,5701
other,3 BHK,2300.0,3.0,120.0,3,5217
other,2 BHK,1240.0,2.0,60.0,2,4838
other,3 BHK,1750.0,3.0,120.0,3,6857
Tindlu,3 Bedroom,1500.0,2.0,87.0,3,5800
other,2 BHK,950.0,2.0,44.0,2,4631
Kothanur,3 BHK,1580.0,3.0,76.0,3,4810
Hennur Road,3 Bedroom,2264.0,3.0,159.0,3,7022
other,2 BHK,1045.0,2.0,45.0,2,4306
Hebbal,2 BHK,1337.0,2.0,82.0,2,6133
Whitefield,3 BHK,1640.0,4.0,91.0,3,5548
Gubbalala,3 BHK,1470.0,2.0,82.0,3,5578
7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2,6761
Bannerghatta Road,3 BHK,1460.0,2.0,90.0,3,6164
Hulimavu,3 BHK,1823.0,3.0,100.0,3,5485
Budigere,2 BHK,1153.0,2.0,57.0,2,4943
other,3 BHK,1325.0,3.0,57.0,3,4301
Parappana Agrahara,4 Bedroom,1200.0,3.0,85.0,4,7083
Haralur Road,2 BHK,1202.0,2.0,53.0,2,4409
other,2 BHK,1200.0,2.0,62.5,2,5208
Panathur,3 BHK,1688.0,3.0,118.0,3,6990
Kaval Byrasandra,2 BHK,1020.0,2.0,52.0,2,5098
Kengeri Satellite Town,3 BHK,1415.0,2.0,66.0,3,4664
EPIP Zone,3 BHK,2330.0,3.0,162.0,3,6952
Whitefield,2 BHK,805.0,2.0,35.0,2,4347
other,1 BHK,425.0,1.0,20.03,1,4712
Whitefield,2 BHK,1155.0,2.0,59.95,2,5190
other,2 BHK,1100.0,2.0,48.0,2,4363
Mahadevpura,2 BHK,1150.0,2.0,52.0,2,4521
Whitefield,3 BHK,2280.0,4.0,126.0,3,5526
Hegde Nagar,2 BHK,1341.0,2.0,97.0,2,7233
Jakkur,2 BHK,1279.0,2.0,77.0,2,6020
Electronic City Phase II,4 BHK,2225.0,4.0,98.88,4,4444
other,3 BHK,1750.0,3.0,85.0,3,4857
Kudlu,2 BHK,1152.0,2.0,53.5,2,4644
Varthur Road,4 Bedroom,2760.0,4.0,155.0,4,5615
other,2 BHK,775.0,2.0,55.0,2,7096
Yeshwanthpur,1 BHK,667.0,1.0,36.85,1,5524
Electronic City,2 BHK,1070.0,2.0,55.0,2,5140
Old Airport Road,3 BHK,1875.0,2.0,110.0,3,5866
Marathahalli,2 BHK,1215.0,2.0,67.0,2,5514
Banashankari Stage VI,2 BHK,1177.5,2.0,59.935,2,5090
Battarahalli,3 BHK,1779.0,3.0,89.61,3,5037
other,2 BHK,1105.0,2.0,58.0,2,5248
Kammasandra,2 BHK,674.0,2.0,33.0,2,4896
Thanisandra,1 RK,445.0,1.0,28.0,1,6292
HSR Layout,3 BHK,1475.0,3.0,75.0,3,5084
Gottigere,3 BHK,1618.0,3.0,82.5,3,5098
Koramangala,2 BHK,1120.0,2.0,65.0,2,5803
Marathahalli,4 BHK,2181.0,3.0,152.0,4,6969
Bannerghatta Road,2 BHK,1179.0,2.0,66.02,2,5599
Thanisandra,2 BHK,1296.0,2.0,83.0,2,6404
Kathriguppe,3 BHK,1400.0,2.0,77.0,3,5500
Gottigere,2 BHK,1222.0,2.0,63.0,2,5155
Electronic City,2 BHK,940.0,2.0,41.0,2,4361
Tumkur Road,3 BHK,1779.0,3.0,112.0,3,6295
Haralur Road,2 BHK,1056.0,2.0,61.0,2,5776
Arekere,2 BHK,920.0,2.0,40.0,2,4347
other,3 BHK,1602.0,2.0,75.0,3,4681
Padmanabhanagar,2 BHK,1176.0,2.0,62.0,2,5272
Kasavanhalli,3 BHK,1717.0,3.0,99.0,3,5765
Bhoganhalli,4 BHK,2119.0,4.0,111.0,4,5238
Vittasandra,2 BHK,1246.0,2.0,67.3,2,5401
Hennur Road,2 BHK,1157.0,2.0,84.0,2,7260
Yelahanka New Town,1 BHK,650.0,1.0,33.0,1,5076
Hebbal,2 BHK,1349.0,2.0,98.0,2,7264
Narayanapura,3 BHK,1566.0,3.0,83.3,3,5319
Sahakara Nagar,4 BHK,2830.0,3.0,195.0,4,6890
other,3 BHK,1780.0,3.0,84.83,3,4765
7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500
Yeshwanthpur,4 BHK,1950.0,4.0,130.0,4,6666
Panathur,3 BHK,1695.0,3.0,90.0,3,5309
Yelahanka,3 BHK,1705.0,3.0,95.0,3,5571
Kalyan nagar,3 BHK,1375.0,3.0,75.0,3,5454
Kanakpura Road,1 BHK,525.0,1.0,30.0,1,5714
Whitefield,2 BHK,1447.0,2.0,83.0,2,5736
7th Phase JP Nagar,3 BHK,1450.0,2.0,100.0,3,6896
Hebbal,2 BHK,1000.0,2.0,45.0,2,4500
Electronic City,2 BHK,1128.0,2.0,68.75,2,6094
Kanakpura Road,2 BHK,1180.0,2.0,57.0,2,4830
TC Palaya,6 Bedroom,1000.0,6.0,69.0,6,6900
Kanakpura Road,2 BHK,1339.0,2.0,75.0,2,5601
Kadugodi,2 BHK,1198.0,2.0,58.0,2,4841
Sarjapur  Road,3 BHK,1691.0,3.0,113.0,3,6682
Bannerghatta Road,2 BHK,1122.5,2.0,58.935,2,5250
Mallasandra,3 BHK,1665.0,3.0,86.58,3,5200
